name,weight_units,weight_max,price_min,price_max,count_max
Galunggong,kg,30.0,150.0,200.0,800.0
Gangis,kg,2.0,200.0,300.0,5.0
Emperor,kg,16.0,110.0,350.0,250.0
Lapu lapu,kg,6.0,150.0,250.0,20.0
Maya maya,kg,6.0,100.0,160.0,10.0
Goatfish,kg,7.0,130.0,400.0,70.0
A,kg,15.0,90.0,200.0,50.0
Swordfish,kg,2.0,100.0,150.0,9.0
Mullet,kg,70.0,50.0,150.0,400.0
Wrasse,kg,2.0,100.0,150.0,15.0
Bream,kg,15.0,70.0,300.0,250.0
Parrotfish,kg,5.0,100.0,200.0,20.0
Mahi mahi,kg,10.0,120.0,270.0,2.0
Snapper,kg,30.0,100.0,300.0,100.0
Bullet tuna,kg,50.0,90.0,220.0,85.0
Sardines,kg,500.0,1.0,1000.0,4000.0
Octopus cyanea,kg,270.0,3000.0,60000.0,200.0
Epinephelus fuscoguttatus,kg,35.0,20000.0,140000.0,30.0
Epinephelus maculatus,kg,10.0,15000.0,90000.0,48.0
Epinephelus cyanopodus,kg,10.0,20000.0,80000.0,30.0
Cephalopholis sonnerati,kg,45.0,15000.0,180000.0,30.0
Epinephelus corallicola,kg,30.0,20000.0,140000.0,30.0
Epinephelus coeruleopunctatus,kg,10.0,25000.0,100000.0,30.0
Mix Species,kg,60.0,10000.0,20000.0,100.0
Epinephelus polyphekadion,kg,30.0,20000.0,140000.0,52.0
Epinephelus spp.,kg,10.0,20000.0,30000.0,30.0
Uroteuthis duvaucelii,kg,300.0,20000.0,70000.0,150.0
Caesio cuning,kg,150.0,4000.0,30000.0,1500.0
Rastrelliger brachysoma,kg,85.0,15000.0,30000.0,120.0
Selaroides leptolepis,kg,25.0,5000.0,20000.0,85.0
Lethrinus lentjan,kg,260.0,2000.0,40000.0,659.0
Scomberomorus commerson,kg,150.0,15000.0,60000.0,52.0
Lutjanus russellii,kg,10.0,15000.0,30000.0,30.0
Caranx ignobilis,kg,500.0,10000.0,90000.0,458.0
Taeniura lymma,kg,350.0,3000.0,40000.0,83.0
Lethrinus semicinctus,kg,45.0,5000.0,30000.0,90.0
Cephalopholis sexmaculata,kg,15.0,10000.0,30000.0,30.0
Sepia latimanus,kg,130.0,2000.0,80000.0,96.0
Caranx melampygus,kg,35.0,10000.0,50000.0,48.0
Epinephelus areolatus,kg,75.0,1000.0,130000.0,30.0
Mixed Live Grouper,kg,115.0,10000.0,30000.0,100.0
Mixed Fresh Grouper,kg,40.0,10000.0,30000.0,50.0
molmol,kg,6.0,100.0,300.0,20.0
Caranguejo do mangal (Scylla serrata),kg,50.0,50000.0,80000.0,100.0
ubod,kg,5.0,50.0,250.0,25.0
Bilason,kg,18.0,100.0,250.0,50.0
Bansikol,kg,15.0,70.0,300.0,150.0
Budloy,kg,5.0,50.0,250.0,20.0
Bugkanon,kg,10.0,150.0,200.0,2.0
Danggit,kg,60.0,80.0,160.0,13.0
MolMol,kg,6.0,100.0,300.0,20.0
budboron,kg,35.0,110.0,200.0,20.0
Sphyraena qenie.,kg,25.0,10000.0,50000.0,36.0
Carangoides coeruleopinnatus,kg,400.0,10000.0,70000.0,93.0
Lutjanus bohar,kg,10.0,20000.0,30000.0,40.0
Lutjanus gibbus,kg,25.0,10000.0,60000.0,250.0
Pomadasys argyreus,kg,20.0,10000.0,30000.0,30.0
Epinephelus macrospilos,kg,25.0,25000.0,90000.0,30.0
Lutjanus argentimaculatus,kg,450.0,10000.0,40000.0,301.0
Mixed Species,kg,60.0,10000.0,20000.0,100.0
Carangoides fulvoguttatus,kg,10.0,20000.0,30000.0,30.0
balo,kg,10.0,140.0,200.0,5.0
Plectorhinchus chrysotaenia,kg,20.0,15000.0,30000.0,80.0
